title,address,description,compensation,employment type
Entry/Junior Structural Engineer Needed,Midtown,"Looking for an entry level or junior structural engineer to work on a project basis initially with potential for permanent position. 

Will work with senior engineer to design building structures and produce construction documents. Projects include building renovations and new buildings in the NYC area.  Must be eager to learn. Great potential for growth and advancement for right person. Startup/Small office environment.

Requirements: 
4 year structural engineering degree
Proficiency with Autocad and able to draft structural plans and details 
Experience with analysis and design software such as ETABS, RAM, Enercalc, etc.
Ability to perform site visits and comfortable using ladders, scaffolds, climbing, etc.
Focused interest in structural engineering and desire to learn.

Respond with resume if interested.",Pay to be on a per project basis with potential for full time position.,contract
Senior Estimator for General Contracting Company,Midtown West,"Midsize Construction Company seeking a Construction Estimator to assist the estimating department for both commercial and high end residential projects. The estimator should have already gained 10+ years’ experience for evaluating bid specifications and drawings, ensuring that we have all necessary documents required to successfully bid the project. Estimators will also work with the Project Management teams to follow up on bids and budgets for trade buy-outs.

Requirements and responsibilities includes, but are not limited to:
-7+ years’ experience for commercial and residential bids
-Must be able to utilize AutoCAD
-Ability to read and analyze plans and specifications in full detail
-Prepare bid packages and meet deadlines
-Prepare and maintain status of plan reproduction
-Maintain spreadsheet to log in competitive subcontractor bids
-Review bid requirements thoroughly
-Develops RFI's, RFP’s, and some scheduling
-Knowledge of MS Office and Adobe software
-Positive, thorough, and proactive communication a must as there will be constant interaction with Clients, architects, and subcontractors.

Please Send resume and project list (optional)",BOE,full-time
Architectural plan and elevation for as-built conditions,junction blvd,"there is 4 buildings with 14 stores in total that need to be surveyed as we need as-built conditions on the interior floor plans and exterior elevation 
each store is 1 story and has cellar 
buildings are located right next to each other on junction blvd in queens
flexible on fee whether it is fixed or hourly cost",flexible on fee whether it is fixed or hourly cost,contract
Look for a structural/geotechnical/civil engineer,,"A middle-size structural engineering firm is looking for one junior and one senior engineer for structural engineering work (buildings), which include structural and SOE design of low to high-rise buildings, special inspections, etc.  Civil/Structural/geotechnical/mechanical engineering background preferred, must be a highly responsible and diligent person. Please reply with resume.",Per interview,full-time
ARCHITECTURAL DRAFTSPERSON,BROOKLYN,"Well established, Brooklyn-based architectural firm is looking for an enthusiastic, hardworking, quick learner to join our team.

MINIMUM QUALIFICATIONS:

•	Bachelor's degree in Architecture or related Architectural Drafting qualification
•	Two to five years' experience working in NYC: DOB & FDNY, NYC Zoning Resolution, ADA Regulations
•	Expertise in AutoCAD required
•	Knowledge of good drafting techniques and familiarity with MEP engineering and construction terminology
•	Exceptional communication skills, verbal and written
•	Excellent computer technology skills
•	Enthusiastic to work hard in a growing company
•	Must be a self-starter who is comfortable achieving maximum results with minimal supervision
•	Must be team player and comfortable working in a fast paced team environment

KEY RESPONSIBILITIES:
•	Production of full working drawings and filing sets in CAD in accordance with specifications and design drawings for residential/commercial projects
•	Efficient and accurate drafting with adherence to CAD standards
•	Work with internal Architects, Project Managers and Interior Designers as required

•	Interested applicants should submit an *e-mail with attached copy of resume [in PDF or Word format] and cover letter with brief description of experience level, availability, salary requirements and references.

*Please indicate “CAD” in subject line on email.",Commensurate Upon Experience,full-time
Facade / Building Envelope Project Architect,TriBeCa,", New York City's leading professional firm dedicated to the preservation of buildings and infrastructure, is seeking a resourceful, skilled architect with 5 to 10 years of building envelope restoration experience to join us in executing a growing slate of challenging projects. 

We work on an array of building types, including courthouses, schools, universities, churches, and hospitals, and many of New York's most storied landmarks, from Trinity Church to Grand Central Terminal. Our work embraces all components of the building envelope and underlying structure—facades, roofs, windows, and plazas—and the full complement of materials, from historic terra-cotta to high-performance curtain walls. We’re proud to be an industry leader in crucial practice areas like Local Law 11 inspections and repairs. We've won numerous awards, as well as the loyalty of many of the premier public, corporate, and residential clients in the region. 

You’ll work as part of a small team assigned to projects based on synergies between project requirements and the capabilities of each team member. This arrangement offers employees the dual advantages of a small office experience coupled with access to the centralized resources of a larger firm. You'll be supported by some of the most sophisticated technology in the profession, including proprietary computer systems and applications, advanced photography and image processing, and state-of-the-art, non-destructive diagnostic equipment and techniques. 

Typically, you’ll participate in all phases of a project from inception through completion: proposal, investigation, construction documents, bid negotiation, and construction administration. You'll have the opportunity to see your designs executed in the field and you'll take on greater responsibility and client management as soon as you are ready. 

We offer an array of benefits and growth opportunities: :


Our light-filled Tribeca office is in a landmarked building with 16' high ceilings, 8' tall windows, and stunning views of Manhattan in three directions—not a bad place to spend the work day. We’re easily accessible via public transportation: the A, C, and E Canal Street station connects directly to our building’s lobby. The N, R, 1, and 6 lines are all just a few blocks away. 

If you’re excited about this opportunity, please send us your resume, a cover letter with salary requirements, and a few pages of attachments (maximum of 10MB, please) or link to your portfolio that demonstrates your experience and capabilities. 

With thanks for your interest, please note that only those candidates under consideration will be contacted. 

For additional information on our firm’s services, approach, and projects, visit",Commensurate with experience,full-time
ARCHITECT,Brooklyn,"Established Brooklyn based office seeks Architect with experience to work with Principal to conceptualize, develop, and advance design for a multitude of projects including new construction and renovations for New York residential and commercial projects.

Requirements:
- Must have an Architectural Degree
- Must be a NYS Registered Architect License
- Must have a minimum of 4-10 years of work experience in New York City;
- Must have have an in-depth understanding of NYC Dept. of Buildings Code and Zoning;
- At ease with product research, design, drawing, development of architectural plans, elevations & specs;
- Possess time management and organizational skills;
- Knowledge of mechanical, electrical and plumbing systems;
- Complete basic sketches to clarify field conditions and designs change;
- Proficient in Revit, AutoCAD, PhotoCAD, Photoshop, Microsoft Office and Adobe
- Must be a team player.

Salary based on experience.

For consideration of this position, notate ""ARCHITECT"" in the subject line of e-mail, attach a copy of recent resume along with sample(s) of your best work in PDF format/links for online viewing.

This is not a sponsored position.

Principals only please.",Salary commensurate upon experience.,full-time
ELECTRICAL CAD DRAFSTMAN,RICHMOND HILL,"WE ARE AN ELECTRICAL COMPANY, LOOKING FOR SOMEONE WITH KNOWLEDGE IN PREPARING SHOP DRAWINGS FOR ELECTRICAL BUILDINGS..... FULLTIME POSITION AVAILABLE WITH BENEFITS .... JOB STARTS ASAP ... AUTOCAD EXPERINCE A MUST WE WILL SPEND THE TIME TO TRAIN YOU .... OFFICE IN QUEENS .... IF YOUR GOOD YOU CAN WORK FROM HOME",PAY AS MUCH AT $100K WITH EXPERIENCE,full-time
SENIOR PROJECT MANAGER,Midtown,"SENIOR PROJECT MANAGER/MECHANICAL PE with BSME and 5 +
years experience in commercial, residential or healthcare projects.
Permanent. Full time. Excellent benefits.

HANK DEVITO

EMAIL: Hank11214@hotmail.com
TEL: Juliana at 718-449-5745","$120,000-130,000",full-time
CAD Operator / Drafter,Long Island City,"Structural engineering firm in Long Island City, Queens has an immediate opening for a full-time AutoCAD draftsperson.

This is NOT a telecommuting position. You must be able to come to work at our office in LIC and you must be authorized to work in the U.S. Please do not apply if you are not within commuting distance. 

Requirements:
• 4+ years in AutoCAD experience
• Must have working experience in engineering/architectural drafting
• Must be able to generate plans and sections

Duties and Responsibilities:
• Create detailed, accurate construction documents for structural engineering projects (commercial and residential)
• Work with principal engineer to make corrections to the drawings under tight deadlines

Excellent communication skills are a must.

To apply, please send resume in PDF format and email your salary requirements.",Salary based on experience,full-time
